date,USARECM,USARECDM,USARECDP,RECPROUSM156N,recess1,recess2,recess3,recess4,recess5,Adj Close,Value,T10Y2Y,BAMLCC1A013YTRIV,stock returns,bond returns
1984-10-31,1.0,1.0,1.0,0.12,5.0,10.0,12.5,20.0,30.0,166.08999633789062,4.51,0.45,242.82,-6.026348740024601e-05,0.03969171483622343
1984-11-30,1.0,1.0,1.0,0.02,5.0,10.0,12.5,20.0,30.0,163.5800018310547,4.5,0.7,247.23,-0.015112255778064129,0.018161601186063737
1984-12-31,1.0,1.0,1.0,0.16,25.0,20.0,18.0,20.0,20.0,167.24000549316406,4.58,1.06,250.48,0.02237439553209826,0.013145653844598149
1985-01-31,1.0,1.0,1.0,0.14,25.0,20.0,18.0,20.0,20.0,179.6300048828125,4.41,1.27,253.79,0.07408514101104163,0.013214627914404354
1985-02-28,1.0,1.0,1.0,0.04,25.0,20.0,18.0,20.0,20.0,181.17999267578125,4.21,1.25,253.18,0.008628779996860408,-0.002403562000078747
1985-03-29,1.0,1.0,1.0,0.02,3.5,5.0,10.0,15.0,20.0,180.66000366210938,4.21,1.06,253.18,-0.0028700134379759422,0.0
1985-04-30,1.0,1.0,1.0,0.06,3.5,5.0,10.0,15.0,20.0,179.8300018310547,4.26,1.21,262.26,-0.004594275513284335,0.03586381230744918
1985-05-31,1.0,1.0,1.0,0.02,3.5,5.0,10.0,15.0,20.0,189.5500030517578,4.17,1.36,267.64,0.05405105444993988,0.0205139937466636
1985-06-28,1.0,1.0,1.0,0.16,5.0,10.0,10.0,20.0,25.0,191.85000610351562,4.17,1.29,267.64,0.012134017487352836,0.0
1985-07-31,1.0,1.0,1.0,0.2,5.0,10.0,10.0,20.0,25.0,190.9199981689453,4.04,1.45,270.55,-0.004847578342366653,0.010872814228067648
1985-08-30,1.0,1.0,1.0,0.02,5.0,10.0,10.0,20.0,25.0,188.6300048828125,4.04,1.27,270.55,-0.011994517641396555,0.0
1985-09-30,1.0,1.0,1.0,0.04,10.0,15.0,20.0,20.0,25.0,182.0800018310547,4.26,1.29,276.3,-0.03472407826012113,0.02125300314174829
1985-10-31,1.0,1.0,1.0,0.28,10.0,15.0,20.0,20.0,25.0,189.82000732421875,4.22,1.25,279.75,0.04250881708769823,0.012486427795874009
1985-11-29,1.0,1.0,1.0,0.02,10.0,15.0,20.0,20.0,25.0,202.1699981689453,4.22,1.07,279.75,0.06506158659888985,0.0
1985-12-31,1.0,1.0,1.0,0.02,5.0,10.0,15.0,20.0,20.0,211.27999877929688,3.81,1.0,287.54,0.04506109063095852,0.027846291331546095
1986-01-31,1.0,1.0,1.0,0.1,5.0,10.0,15.0,20.0,20.0,211.77999877929688,3.81,0.97,289.54,0.0023665278440402684,0.006955554009876886
1986-02-28,1.0,1.0,1.0,0.8,5.0,10.0,15.0,20.0,20.0,226.9199981689453,3.64,0.42,293.74,0.07148927885973946,0.014505767769565477
1986-03-31,1.0,1.0,1.0,0.58,0.0,4.0,6.5,10.0,15.0,238.89999389648438,3.45,0.44,297.84,0.0527939177869188,0.01395792197181169
1986-04-30,1.0,1.0,1.0,0.18,0.0,4.0,6.5,10.0,15.0,235.52000427246094,3.38,0.43,300.78,-0.014148136083619955,0.009871071716357769
1986-05-30,1.0,1.0,1.0,0.16,0.0,4.0,6.5,10.0,15.0,247.35000610351562,3.38,0.56,300.78,0.05022928675463664,0.0
1986-06-30,1.0,1.0,1.0,0.32,1.0,5.0,10.0,15.0,20.0,250.83999633789062,3.3,0.49,303.54,0.014109521521153487,0.009176142030720287
1986-07-31,1.0,1.0,1.0,0.0,1.0,5.0,10.0,15.0,20.0,236.1199951171875,3.39,0.56,305.57,-0.05868283142882344,0.006687751202477343
1986-08-29,1.0,1.0,1.0,0.06,1.0,5.0,10.0,15.0,20.0,252.92999267578125,3.39,0.73,305.57,0.07119260505765666,0.0
1986-09-30,1.0,1.0,1.0,0.0,20.0,15.0,20.0,20.0,20.0,231.32000732421875,3.45,1.04,311.41,-0.08543860347658846,0.019111823804692972
1986-10-31,1.0,1.0,1.0,0.06,20.0,15.0,20.0,20.0,20.0,243.97999572753906,3.47,1.05,314.62,0.05472932734943259,0.010307954144054396
1986-11-28,1.0,1.0,1.0,0.06,20.0,15.0,20.0,20.0,20.0,249.22000122070312,3.47,0.9,317.23,0.021477193150768632,0.008295721823151782
1986-12-31,1.0,1.0,1.0,0.04,10.0,20.0,20.0,15.0,15.0,242.1699981689453,3.33,0.77,319.16,-0.028288271475909763,0.006083913879519612
1987-01-30,1.0,1.0,1.0,0.62,10.0,20.0,20.0,15.0,15.0,274.0799865722656,3.33,0.81,320.14,0.13176689368870093,0.0030705602205788984
1987-02-27,1.0,1.0,1.0,0.0,10.0,20.0,20.0,15.0,15.0,284.20001220703125,3.33,0.79,322.23,0.03692362131701038,0.006528393827700481
